tran_id,cust_id,tran_amount,tran_type,country_cd,tran_date
TD_106590,cust_7317,4164391.66,C,CAN,2022-05-11
TD_106591,cust_5848,6652009.42,D,IND,2022-05-11
FX_106592,cust_5133,5006901.63,D,CAN,2022-05-11
TD_106593,cust_5684,1410532.99,C,PAL,2022-05-11
FX_106594,cust_7542,5476996.36,D,CHN,2022-05-11
FX_106595,cust_6636,307256.46,C,KON,2022-05-11
FX_106596,cust_8817,9011496.44,D,KON,2022-05-11
FX_106597,cust_1726,1228848.29,C,PAL,2022-05-11
TD_106598,cust_9518,2854127.0,C,IND,2022-05-11
FX_106599,cust_7817,7943937.26,C,USA,2022-05-11
TD_106600,cust_9458,5770814.96,C,USA,2022-05-11
TD_106601,cust_3629,321142.2,C,KON,2022-05-11
FX_106602,cust_6486,7183085.29,D,USA,2022-05-11
FX_106603,cust_1604,1421923.38,D,PAL,2022-05-11
TD_106604,cust_3035,7621940.24,C,PAL,2022-05-11
FX_106605,cust_7458,3844.47,C,USA,2022-05-11
FX_106606,cust_1030,1055363.32,C,PAL,2022-05-11
FX_106607,cust_3389,3981473.3,D,CAN,2022-05-11
TD_106608,cust_1959,9677569.76,D,CAN,2022-05-11
TD_106609,cust_5721,3045055.11,C,JPN,2022-05-11
FX_106610,cust_4567,2103669.29,C,IND,2022-05-11
FX_106611,cust_2357,2318545.67,C,AFG,2022-05-11
TD_106612,cust_7625,2930520.8,C,KON,2022-05-11
FX_106613,cust_3546,7231927.29,D,KON,2022-05-11
FX_106614,cust_5778,3336990.8,C,AFG,2022-05-11
TD_106615,cust_4484,8669706.48,C,CAN,2022-05-11
TD_106616,cust_2471,9919208.19,C,CAN,2022-05-11
FX_106617,cust_2013,8921111.18,D,AFG,2022-05-11
TD_106618,cust_1724,9421968.6,C,CAN,2022-05-11
TD_106619,cust_5756,6218728.68,D,CAN,2022-05-11
FX_106620,cust_5246,515477.52,C,CHN,2022-05-11
FX_106621,cust_7406,4855346.72,C,PAL,2022-05-11
TD_106622,cust_1099,6975369.21,D,CAN,2022-05-11
FX_106623,cust_9677,2646952.6,C,KON,2022-05-11
TD_106624,cust_2155,8753659.73,D,PAL,2022-05-11
TD_106625,cust_2637,9919629.98,C,IND,2022-05-11
TD_106626,cust_9577,2287885.46,D,AFG,2022-05-11
TD_106627,cust_1355,6916308.08,D,AFG,2022-05-11
FX_106628,cust_6520,167717.04,C,KON,2022-05-11
TD_106629,cust_9698,9295718.97,C,AFG,2022-05-11
TD_106630,cust_9016,6789068.77,D,IND,2022-05-11
TD_106631,cust_7198,1762927.46,C,JPN,2022-05-11
FX_106632,cust_4619,7375450.64,C,JPN,2022-05-11
TD_106633,cust_9225,5825635.0,D,CHN,2022-05-11
TD_106634,cust_9898,2549954.14,C,CHN,2022-05-11
FX_106635,cust_4441,1467447.48,D,PAL,2022-05-11
FX_106636,cust_7349,4837565.28,D,CHN,2022-05-11
TD_106637,cust_8315,3352934.3,D,JPN,2022-05-11
TD_106638,cust_6475,9604502.38,D,KON,2022-05-11
FX_106639,cust_8459,3693172.78,D,USA,2022-05-11
TD_106640,cust_3728,5652910.44,C,KON,2022-05-11
TD_106641,cust_9513,2907023.93,C,CAN,2022-05-11
FX_106642,cust_4278,5239518.23,C,CAN,2022-05-11
FX_106643,cust_2535,2310442.61,C,IND,2022-05-11
TD_106644,cust_6324,4951275.93,C,USA,2022-05-11
TD_106645,cust_4262,7026126.0,C,CHN,2022-05-11
FX_106646,cust_9517,356683.51,C,PAL,2022-05-11
TD_106647,cust_1652,3182023.65,D,AFG,2022-05-11
TD_106648,cust_2275,9943404.98,C,KON,2022-05-11
TD_106649,cust_1382,977316.42,D,JPN,2022-05-11
FX_106650,cust_8338,1687350.57,D,AFG,2022-05-11
TD_106651,cust_5405,3145322.47,C,AFG,2022-05-11
TD_106652,cust_7811,475670.65,D,JPN,2022-05-11
TD_106653,cust_3803,7099203.31,C,CHN,2022-05-11
FX_106654,cust_7413,5435072.46,D,JPN,2022-05-11
FX_106655,cust_5248,6424534.68,C,PAL,2022-05-11
TD_106656,cust_2737,4533324.91,D,KON,2022-05-11
FX_106657,cust_1665,284300.63,C,JPN,2022-05-11
FX_106658,cust_6679,3701688.87,C,AFG,2022-05-11
FX_106659,cust_9964,8874470.2,D,JPN,2022-05-11
FX_106660,cust_2061,7584665.09,C,JPN,2022-05-11
TD_106661,cust_8161,700744.71,C,JPN,2022-05-11
TD_106662,cust_9276,6040934.71,D,IND,2022-05-11
TD_106663,cust_4070,6219952.82,C,JPN,2022-05-11
TD_106664,cust_1770,4248448.41,C,IND,2022-05-11
FX_106665,cust_7841,3440833.69,C,PAL,2022-05-11
TD_106666,cust_5464,4578278.86,D,IND,2022-05-11
FX_106667,cust_1399,7708105.88,C,JPN,2022-05-11
TD_106668,cust_4513,9056821.4,C,IND,2022-05-11
FX_106669,cust_8628,3427373.13,C,JPN,2022-05-11
FX_106670,cust_2937,7670861.59,C,PAL,2022-05-11
TD_106671,cust_8360,270157.73,C,CAN,2022-05-11
TD_106672,cust_5767,1515262.59,D,KON,2022-05-11
FX_106673,cust_2409,9603210.13,C,CHN,2022-05-11
TD_106674,cust_7027,9951214.86,D,IND,2022-05-11
FX_106675,cust_8219,6842623.22,D,USA,2022-05-11
TD_106676,cust_5973,4469146.76,D,CAN,2022-05-11
FX_106677,cust_8919,7224767.38,C,CHN,2022-05-11
FX_106678,cust_6425,7290487.11,C,KON,2022-05-11
FX_106679,cust_8258,4536446.75,C,PAL,2022-05-11
TD_106680,cust_5735,2047241.93,C,USA,2022-05-11
FX_106681,cust_1300,3149339.6,D,CHN,2022-05-11
FX_106682,cust_7779,3113005.96,C,KON,2022-05-11
FX_106683,cust_2868,4122625.62,D,CHN,2022-05-11
TD_106684,cust_9171,995713.32,D,JPN,2022-05-11
FX_106685,cust_4657,147393.32,D,PAL,2022-05-11
TD_106686,cust_7551,521363.77,C,JPN,2022-05-11
TD_106687,cust_8389,3326245.06,D,JPN,2022-05-11
FX_106688,cust_7824,3093587.72,C,KON,2022-05-11
TD_106689,cust_9250,2389251.7,D,JPN,2022-05-11
TD_106690,cust_1640,5073905.0,D,PAL,2022-05-11
FX_106691,cust_1279,778200.31,D,KON,2022-05-11
TD_106692,cust_3672,9559848.05,C,CAN,2022-05-11
TD_106693,cust_1589,8947296.67,C,IND,2022-05-11
TD_106694,cust_2655,5328933.91,D,CHN,2022-05-11
TD_106695,cust_7030,3651719.23,C,IND,2022-05-11
TD_106696,cust_8276,1907447.44,C,KON,2022-05-11
TD_106697,cust_3465,4694601.7,D,CAN,2022-05-11
FX_106698,cust_5718,5931989.76,D,CAN,2022-05-11
TD_106699,cust_3483,6174249.39,D,CAN,2022-05-11
TD_106700,cust_9846,8632868.12,C,USA,2022-05-11
FX_106701,cust_5664,8490567.75,C,AFG,2022-05-11
FX_106702,cust_5472,5459546.89,C,CHN,2022-05-11
TD_106703,cust_7550,2335971.41,C,IND,2022-05-11
FX_106704,cust_5404,6183125.07,D,USA,2022-05-11
TD_106705,cust_7602,2389457.49,C,IND,2022-05-11
FX_106706,cust_1792,4240045.95,D,CHN,2022-05-11
FX_106707,cust_1681,7130031.53,C,CHN,2022-05-11
TD_106708,cust_1736,8481484.07,C,IND,2022-05-11
FX_106709,cust_2654,7815631.48,C,PAL,2022-05-11
TD_106710,cust_4106,2922049.73,D,USA,2022-05-11
FX_106711,cust_4077,7111037.06,C,JPN,2022-05-11
FX_106712,cust_9868,303488.1,C,CAN,2022-05-11
TD_106713,cust_4292,3784029.68,D,IND,2022-05-11
TD_106714,cust_8723,3678126.74,D,JPN,2022-05-11
FX_106715,cust_7178,8000845.11,D,CAN,2022-05-11
TD_106716,cust_1930,2390083.72,D,JPN,2022-05-11
FX_106717,cust_7836,6485366.18,D,KON,2022-05-11
TD_106718,cust_9473,4991176.77,C,USA,2022-05-11
TD_106719,cust_8506,2407172.93,D,PAL,2022-05-11
FX_106720,cust_9900,8615955.01,C,USA,2022-05-11
FX_106721,cust_9860,8019370.35,C,USA,2022-05-11
TD_106722,cust_1085,5866154.82,D,KON,2022-05-11
FX_106723,cust_1786,467302.91,C,PAL,2022-05-11
TD_106724,cust_2593,5718424.64,D,PAL,2022-05-11
FX_106725,cust_6942,8488572.3,C,IND,2022-05-11
FX_106726,cust_8917,1705436.93,C,PAL,2022-05-11
FX_106727,cust_9355,9512463.76,D,USA,2022-05-11
FX_106728,cust_3236,7060343.4,D,IND,2022-05-11
TD_106729,cust_3959,5607139.98,D,CAN,2022-05-11
TD_106730,cust_3076,8704067.05,C,KON,2022-05-11
FX_106731,cust_6030,6199615.46,D,JPN,2022-05-11
TD_106732,cust_2257,1983111.85,D,IND,2022-05-11
FX_106733,cust_9157,903266.19,C,PAL,2022-05-11
TD_106734,cust_6871,496016.24,C,IND,2022-05-11
TD_106735,cust_4878,8513272.24,D,KON,2022-05-11
FX_106736,cust_2471,7614083.11,D,JPN,2022-05-11
FX_106737,cust_1920,6361515.58,C,KON,2022-05-11
TD_106738,cust_1024,8310835.64,D,CHN,2022-05-11
FX_106739,cust_6320,1573589.91,D,KON,2022-05-11
TD_106740,cust_1320,2428188.25,D,AFG,2022-05-11
FX_106741,cust_8712,2953885.53,C,IND,2022-05-11
FX_106742,cust_2418,9733958.5,D,USA,2022-05-11
FX_106743,cust_4997,7554160.2,C,JPN,2022-05-11
TD_106744,cust_6936,5502535.45,C,JPN,2022-05-11
FX_106745,cust_7952,1073347.82,C,IND,2022-05-11
TD_106746,cust_6824,28995.3,C,KON,2022-05-11
FX_106747,cust_5622,2008714.44,C,IND,2022-05-11
TD_106748,cust_2615,1642839.07,D,CHN,2022-05-11
TD_106749,cust_2955,5533124.62,D,PAL,2022-05-11
FX_106750,cust_3521,8873046.53,D,KON,2022-05-11
FX_106751,cust_5938,6943492.02,C,PAL,2022-05-11
TD_106752,cust_9020,3982406.56,C,CHN,2022-05-11
FX_106753,cust_1851,5878710.18,C,PAL,2022-05-11
TD_106754,cust_4555,8750775.67,D,IND,2022-05-11
TD_106755,cust_8004,4848924.44,C,KON,2022-05-11
TD_106756,cust_3049,6583789.86,D,PAL,2022-05-11
FX_106757,cust_7032,7332288.04,C,IND,2022-05-11
FX_106758,cust_2961,198894.13,D,USA,2022-05-11
FX_106759,cust_4008,9611601.59,C,CHN,2022-05-11
FX_106760,cust_7202,6475851.99,C,CHN,2022-05-11
FX_106761,cust_9391,2502238.24,D,CHN,2022-05-11
TD_106762,cust_7764,7031967.38,C,CHN,2022-05-11
FX_106763,cust_4558,8053321.31,C,KON,2022-05-11
TD_106764,cust_2982,8793335.64,C,IND,2022-05-11
FX_106765,cust_1444,6016231.4,C,CHN,2022-05-11
FX_106766,cust_1026,3032826.49,D,JPN,2022-05-11
FX_106767,cust_8770,3754701.59,C,JPN,2022-05-11
FX_106768,cust_7307,6503767.98,C,KON,2022-05-11
TD_106769,cust_4450,3931456.51,D,IND,2022-05-11
FX_106770,cust_9986,2342790.11,D,USA,2022-05-11
TD_106771,cust_6138,1602381.91,C,USA,2022-05-11
FX_106772,cust_3667,7917272.04,C,CHN,2022-05-11
TD_106773,cust_6078,996301.5,D,AFG,2022-05-11
FX_106774,cust_9087,7538675.08,D,CAN,2022-05-11
TD_106775,cust_5089,4533578.22,C,IND,2022-05-11
TD_106776,cust_4681,7395690.78,C,IND,2022-05-11
FX_106777,cust_7659,1487166.37,C,USA,2022-05-11
TD_106778,cust_7485,6309350.4,C,JPN,2022-05-11
TD_106779,cust_8019,3457265.39,C,PAL,2022-05-11
TD_106780,cust_2052,3510517.07,D,IND,2022-05-11
FX_106781,cust_8244,3309602.27,D,AFG,2022-05-11
TD_106782,cust_7339,3494150.78,C,CHN,2022-05-11
TD_106783,cust_9205,8445694.36,C,AFG,2022-05-11
TD_106784,cust_7007,7808183.68,D,KON,2022-05-11
FX_106785,cust_4654,9825882.58,C,PAL,2022-05-11
FX_106786,cust_9008,6663735.62,D,KON,2022-05-11
TD_106787,cust_5576,689868.86,D,CHN,2022-05-11
FX_106788,cust_3383,4264112.52,C,CHN,2022-05-11
FX_106789,cust_9687,505041.07,D,PAL,2022-05-11
FX_106790,cust_9127,7525005.6,D,JPN,2022-05-11
TD_106791,cust_6281,5769201.78,D,AFG,2022-05-11
TD_106792,cust_6685,1794851.88,D,CHN,2022-05-11
TD_106793,cust_4125,3299156.92,C,KON,2022-05-11
TD_106794,cust_6130,1789406.01,C,CHN,2022-05-11
FX_106795,cust_9431,9524458.34,C,USA,2022-05-11
TD_106796,cust_5692,473197.33,C,CAN,2022-05-11
FX_106797,cust_5229,2124349.14,C,AFG,2022-05-11
FX_106798,cust_2786,7746395.41,D,CAN,2022-05-11
FX_106799,cust_1256,2947948.57,D,KON,2022-05-11
FX_106800,cust_5961,1881424.56,D,KON,2022-05-11
FX_106801,cust_7696,3478609.65,C,CAN,2022-05-11
FX_106802,cust_6311,7413177.35,C,USA,2022-05-11
FX_106803,cust_2390,8767525.42,C,JPN,2022-05-11
TD_106804,cust_8245,4105733.54,C,AFG,2022-05-11
FX_106805,cust_1277,5610545.9,D,CAN,2022-05-11
TD_106806,cust_8039,6850934.06,D,USA,2022-05-11
FX_106807,cust_4078,193890.14,D,CHN,2022-05-11
TD_106808,cust_8955,9010668.88,C,CHN,2022-05-11
FX_106809,cust_3497,1692496.27,D,IND,2022-05-11
FX_106810,cust_5759,8423700.31,D,AFG,2022-05-11
TD_106811,cust_2065,6847863.62,D,IND,2022-05-11
FX_106812,cust_8512,1615556.0,C,KON,2022-05-11
TD_106813,cust_3316,872528.54,C,JPN,2022-05-11
TD_106814,cust_4727,8138151.66,D,PAL,2022-05-11
TD_106815,cust_7287,1616015.42,D,CHN,2022-05-11
TD_106816,cust_9786,5293636.78,D,JPN,2022-05-11
FX_106817,cust_4739,1540478.5,D,JPN,2022-05-11
TD_106818,cust_4659,5827924.5,C,CHN,2022-05-11
FX_106819,cust_3615,9543275.08,D,USA,2022-05-11
FX_106820,cust_9798,5974964.1,D,KON,2022-05-11
TD_106821,cust_4814,5648300.5,C,CHN,2022-05-11
FX_106822,cust_9318,2439916.67,C,USA,2022-05-11
FX_106823,cust_9433,6019004.3,D,IND,2022-05-11
TD_106824,cust_1282,92841.72,C,KON,2022-05-11
TD_106825,cust_9139,1577660.01,D,AFG,2022-05-11
TD_106826,cust_2220,7782867.27,D,USA,2022-05-11
TD_106827,cust_6434,928521.35,C,PAL,2022-05-11
FX_106828,cust_6146,9395746.79,D,CHN,2022-05-11
FX_106829,cust_9540,2423713.89,C,JPN,2022-05-11
FX_106830,cust_6676,9880572.64,C,IND,2022-05-11
FX_106831,cust_6347,1293101.49,C,JPN,2022-05-11
TD_106832,cust_5288,4378328.27,D,AFG,2022-05-11
TD_106833,cust_5381,8631825.7,D,JPN,2022-05-11
TD_106834,cust_4192,3425370.11,C,KON,2022-05-11
FX_106835,cust_2946,9832981.87,D,PAL,2022-05-11
FX_106836,cust_5367,2986984.26,C,CHN,2022-05-11
TD_106837,cust_5801,6719114.28,C,PAL,2022-05-11
TD_106838,cust_8673,6025447.4,D,USA,2022-05-11
FX_106839,cust_8119,851330.41,C,KON,2022-05-11
FX_106840,cust_1276,1394838.27,C,KON,2022-05-11
FX_106841,cust_3520,4358985.05,C,PAL,2022-05-11
FX_106842,cust_8321,7974180.03,D,KON,2022-05-11
TD_106843,cust_7474,1417970.95,C,PAL,2022-05-11
FX_106844,cust_4606,3327334.39,C,AFG,2022-05-11
TD_106845,cust_9159,9525840.32,C,JPN,2022-05-11
FX_106846,cust_8513,8888525.86,C,USA,2022-05-11
FX_106847,cust_1554,9527036.42,D,PAL,2022-05-11
FX_106848,cust_4470,8251508.17,D,KON,2022-05-11
TD_106849,cust_1741,9086105.95,C,AFG,2022-05-11
FX_106850,cust_9845,3544787.77,C,PAL,2022-05-11
TD_106851,cust_8403,21889.31,C,CHN,2022-05-11
FX_106852,cust_4780,2885019.66,D,USA,2022-05-11
FX_106853,cust_7605,3851791.32,C,IND,2022-05-11
FX_106854,cust_1845,7815851.46,D,IND,2022-05-11
TD_106855,cust_9659,664411.88,D,KON,2022-05-11
TD_106856,cust_2844,4261732.49,C,AFG,2022-05-11
TD_106857,cust_4621,9115839.98,D,USA,2022-05-11
TD_106858,cust_3582,9639167.1,C,CAN,2022-05-11
TD_106859,cust_6475,1225958.39,D,CHN,2022-05-11
FX_106860,cust_9845,7314587.07,C,USA,2022-05-11
FX_106861,cust_8185,581907.65,C,PAL,2022-05-11
TD_106862,cust_5902,6890514.32,C,AFG,2022-05-11
TD_106863,cust_4399,3572640.16,C,PAL,2022-05-11
TD_106864,cust_1705,6086154.87,C,USA,2022-05-11
TD_106865,cust_7286,9977891.79,C,PAL,2022-05-11
TD_106866,cust_9711,5553362.71,D,AFG,2022-05-11
FX_106867,cust_6198,9898859.06,D,USA,2022-05-11
TD_106868,cust_2522,6432041.32,D,KON,2022-05-11
FX_106869,cust_4346,9437452.76,C,AFG,2022-05-11
FX_106870,cust_2325,8700867.25,D,PAL,2022-05-11
FX_106871,cust_1550,6062976.45,C,CAN,2022-05-11
TD_106872,cust_2355,8282789.24,D,CAN,2022-05-11
FX_106873,cust_5520,1402009.99,C,CHN,2022-05-11
FX_106874,cust_6044,9306088.87,C,CAN,2022-05-11
TD_106875,cust_3552,2070109.72,D,USA,2022-05-11
TD_106876,cust_1138,7578256.59,C,CHN,2022-05-11
TD_106877,cust_6923,239025.6,D,CAN,2022-05-11
FX_106878,cust_3113,9411002.59,C,AFG,2022-05-11
FX_106879,cust_2609,5433285.03,D,IND,2022-05-11
FX_106880,cust_1269,476553.89,C,CAN,2022-05-11
TD_106881,cust_5191,6583060.66,C,CHN,2022-05-11
