tran_id,cust_id,tran_amount,tran_type,country_cd,tran_date
TD_100000,cust_8161,76899815.07,D,CHN,2022-01-01
TD_100001,cust_1120,65163111.93,D,CHN,2022-01-01
FX_100002,cust_2411,80573599.71,C,CAN,2022-01-01
FX_100003,cust_8080,97491576.19,D,USA,2022-01-01
TD_100004,cust_5313,87647125.96,D,CAN,2022-01-01
TD_100005,cust_2519,65827665.13,D,CAN,2022-01-01
TD_100006,cust_2889,21680890.14,D,AFG,2022-01-01
TD_100007,cust_3761,88247630.74,C,AFG,2022-01-01
FX_100008,cust_7147,35605811.31,C,IND,2022-01-01
FX_100009,cust_7050,93515229.02,C,IND,2022-01-01
TD_100010,cust_6135,41496674.49,C,CAN,2022-01-01
FX_100011,cust_2350,85478464.56,C,KON,2022-01-01
FX_100012,cust_5003,1797615.91,D,CAN,2022-01-01
TD_100013,cust_5854,64177826.48,D,PAL,2022-01-01
TD_100014,cust_4815,98212781.66,C,CAN,2022-01-01
FX_100015,cust_7472,78853300.9,D,CHN,2022-01-01
TD_100016,cust_7172,69162542.26,D,PAL,2022-01-01
FX_100017,cust_6128,56394853.12,D,AFG,2022-01-01
FX_100018,cust_9324,24628927.56,D,USA,2022-01-01
FX_100019,cust_9031,82188845.7,C,KON,2022-01-01
TD_100020,cust_3813,68337280.6,D,AFG,2022-01-01
TD_100021,cust_6115,13798856.87,D,KON,2022-01-01
FX_100022,cust_1144,50766435.58,C,AFG,2022-01-01
FX_100023,cust_7916,60742374.43,C,CAN,2022-01-01
TD_100024,cust_1977,14383394.73,C,AFG,2022-01-01
FX_100025,cust_4349,14830641.45,D,CAN,2022-01-01
TD_100026,cust_8486,89698660.05,C,USA,2022-01-01
TD_100027,cust_9987,97303712.24,C,CHN,2022-01-01
TD_100028,cust_2427,77548715.32,D,USA,2022-01-01
TD_100029,cust_9874,44478383.73,D,PAL,2022-01-01
TD_100030,cust_2606,6660586.22,D,IND,2022-01-01
FX_100031,cust_3112,63000810.64,C,IND,2022-01-01
TD_100032,cust_2317,88489977.9,D,KON,2022-01-01
FX_100033,cust_1829,80033302.41,D,CHN,2022-01-01
TD_100034,cust_2905,41900227.92,C,USA,2022-01-01
FX_100035,cust_4630,85733928.34,C,USA,2022-01-01
FX_100036,cust_6628,69115814.1,D,IND,2022-01-01
FX_100037,cust_2036,17790430.34,D,AFG,2022-01-01
TD_100038,cust_3640,34748500.05,C,CHN,2022-01-01
FX_100039,cust_3425,4578821.93,C,CAN,2022-01-01
FX_100040,cust_8654,16834813.82,D,PAL,2022-01-01
FX_100041,cust_5652,78501818.71,C,AFG,2022-01-01
TD_100042,cust_7340,40800338.34,D,AFG,2022-01-01
FX_100043,cust_4756,25469647.62,C,PAL,2022-01-01
FX_100044,cust_5501,89086246.52,D,KON,2022-01-01
FX_100045,cust_5696,99673921.46,C,AFG,2022-01-01
FX_100046,cust_5077,6102618.4,C,PAL,2022-01-01
TD_100047,cust_3265,39566233.36,C,CHN,2022-01-01
FX_100048,cust_6433,55796799.08,D,CHN,2022-01-01
FX_100049,cust_4071,57254913.93,C,USA,2022-01-01
TD_100050,cust_4094,94655800.98,D,PAL,2022-01-01
FX_100051,cust_6738,49499904.06,D,PAL,2022-01-01
TD_100052,cust_3402,38955455.01,D,PAL,2022-01-01
TD_100053,cust_3004,14442872.86,C,IND,2022-01-01
TD_100054,cust_6551,7805912.01,C,AFG,2022-01-01
FX_100055,cust_8844,27648184.4,D,IND,2022-01-01
TD_100056,cust_5724,19723155.02,D,JPN,2022-01-01
TD_100057,cust_2919,9010883.09,D,CAN,2022-01-01
FX_100058,cust_2176,16041176.91,D,PAL,2022-01-01
TD_100059,cust_9459,43019830.72,C,KON,2022-01-01
FX_100060,cust_1928,26773364.55,C,AFG,2022-01-01
TD_100061,cust_3247,68697184.75,D,USA,2022-01-01
FX_100062,cust_4166,90776831.91,C,JPN,2022-01-01
TD_100063,cust_1185,51585308.75,C,IND,2022-01-01
TD_100064,cust_1377,77162399.65,C,AFG,2022-01-01
FX_100065,cust_6321,46989319.88,D,USA,2022-01-01
FX_100066,cust_6227,63849477.36,D,AFG,2022-01-01
FX_100067,cust_9884,57361224.63,C,PAL,2022-01-01
TD_100068,cust_6104,37195076.54,D,PAL,2022-01-01
FX_100069,cust_9775,10456662.07,D,JPN,2022-01-01
FX_100070,cust_3722,10362136.81,D,USA,2022-01-01
FX_100071,cust_5366,60414214.4,C,USA,2022-01-01
TD_100072,cust_5698,10912945.33,D,KON,2022-01-01
TD_100073,cust_9885,60596894.07,C,USA,2022-01-01
TD_100074,cust_5982,10532912.09,C,CAN,2022-01-01
TD_100075,cust_9947,42531618.73,D,KON,2022-01-01
FX_100076,cust_5661,26610264.47,D,USA,2022-01-01
FX_100077,cust_8410,87749321.34,D,PAL,2022-01-01
