tran_id,cust_id,tran_date,tran_ammount,tran_type,state_cd
130000,CA5751,2022-02-08,6439466.41,D,MI
130001,CA1863,2022-02-08,1365768.55,D,OH
130002,CA6603,2022-02-08,3142147.1,C,FL
130003,CA6575,2022-02-08,8392170.56,D,MI
130004,CA9544,2022-02-08,2329854.77,C,NJ
130005,CA3351,2022-02-08,3010114.16,D,WA
130006,CA1829,2022-02-08,8062359.13,C,MD
130007,CA4662,2022-02-08,3425960.65,D,WA
130008,CA6009,2022-02-08,823057.42,D,OH
130009,CA9754,2022-02-08,827873.62,C,WA
130010,CA6586,2022-02-08,5119730.21,C,NY
130011,CA4357,2022-02-08,4140755.57,D,MI
130012,CA1079,2022-02-08,1021207.26,D,MI
130013,CA6865,2022-02-08,3839698.34,D,NY
130014,CA8285,2022-02-08,1154340.81,C,FL
130015,CA5643,2022-02-08,8499294.3,D,IN
130016,CA2277,2022-02-08,6138912.48,C,MI
130017,CA7716,2022-02-08,4965678.39,D,VA
130018,CA8549,2022-02-08,9015682.61,D,IN
130019,CA7401,2022-02-08,5372836.16,C,MI
130020,CA3397,2022-02-08,7485351.89,D,IN
130021,CA9885,2022-02-08,4633798.61,C,NY
130022,CA9514,2022-02-08,6976958.27,C,NJ
130023,CA4552,2022-02-08,2415814.75,D,WA
130024,CA5527,2022-02-08,6204359.24,C,WA
130025,CA6612,2022-02-08,3687027.92,C,FL
130026,CA8495,2022-02-08,1960064.44,D,IN
130027,CA5384,2022-02-08,9621248.78,D,MI
130028,CA3645,2022-02-08,3084046.3,D,NY
130029,CA5233,2022-02-08,4927610.82,D,IN
130030,CA9149,2022-02-08,6496260.63,D,VA
130031,CA2594,2022-02-08,8382492.59,C,OH
130032,CA6162,2022-02-08,5366048.26,D,WA
130033,CA1910,2022-02-08,1347148.05,D,IN
130034,CA7954,2022-02-08,1262219.65,D,FL
130035,CA3139,2022-02-08,9835678.42,C,WA
130036,CA8874,2022-02-08,6290141.53,D,NY
130037,CA9962,2022-02-08,2835943.11,D,MI
130038,CA3770,2022-02-08,3882794.68,C,FL
130039,CA3148,2022-02-08,5530602.05,C,CA
130040,CA6351,2022-02-08,2418679.97,D,MI
130041,CA6007,2022-02-08,6151553.41,C,FL
130042,CA2550,2022-02-08,9370360.21,C,NY
130043,CA8513,2022-02-08,5908636.09,D,VA
130044,CA9189,2022-02-08,1429729.31,D,WA
130045,CA5498,2022-02-08,5928379.8,C,NY
130046,CA5297,2022-02-08,85486.48,D,NJ
130047,CA4394,2022-02-08,9746937.88,C,MI
130048,CA1465,2022-02-08,3832401.46,D,MD
130049,CA1984,2022-02-08,4861502.24,C,NY
130050,CA2095,2022-02-08,7304983.67,C,VA
130051,CA2392,2022-02-08,2275148.24,C,IN
130052,CA5800,2022-02-08,9591566.83,C,NJ
130053,CA1659,2022-02-08,5127543.13,C,MI
130054,CA9078,2022-02-08,7886672.39,C,NY
130055,CA2987,2022-02-08,8881878.99,C,MD
130056,CA9584,2022-02-08,5971505.37,D,NJ
130057,CA8492,2022-02-08,3609087.41,D,WA
130058,CA9737,2022-02-08,4546906.59,C,NY
130059,CA9041,2022-02-08,6356076.78,D,FL
130060,CA7924,2022-02-08,188261.3,C,FL
130061,CA7359,2022-02-08,8586873.09,C,FL
130062,CA9396,2022-02-08,462296.58,C,MI
130063,CA6173,2022-02-08,7301284.4,C,MI
130064,CA2931,2022-02-08,5048345.81,C,MI
130065,CA8293,2022-02-08,315670.73,D,FL
130066,CA7790,2022-02-08,8513959.22,D,OH
130067,CA1940,2022-02-08,4885468.38,C,IN
130068,CA9407,2022-02-08,5588525.09,D,CA
130069,CA1844,2022-02-08,8663042.52,C,NJ
130070,CA7250,2022-02-08,257120.75,C,CA
130071,CA5421,2022-02-08,9127881.79,C,NY
130072,CA9346,2022-02-08,5735061.68,D,CA
130073,CA3087,2022-02-08,7636642.77,D,VA
130074,CA3409,2022-02-08,6225889.45,D,IN
130075,CA6080,2022-02-08,4393474.84,C,OH
130076,CA5230,2022-02-08,8160783.35,D,MI
130077,CA3682,2022-02-08,3078998.09,C,NJ
130078,CA4171,2022-02-08,308908.84,D,CA
130079,CA2187,2022-02-08,8679319.31,D,MD
130080,CA8658,2022-02-08,5999650.82,D,OH
130081,CA2337,2022-02-08,489973.12,D,VA
130082,CA6435,2022-02-08,2509279.5,D,MD
130083,CA8292,2022-02-08,8565418.78,D,OH
130084,CA7221,2022-02-08,8314069.67,D,OH
130085,CA2806,2022-02-08,5429340.04,C,MD
130086,CA8005,2022-02-08,7448833.17,C,NY
130087,CA3506,2022-02-08,4176461.94,D,MD
130088,CA6883,2022-02-08,725543.07,C,IN
130089,CA2517,2022-02-08,969564.86,D,VA
130090,CA6079,2022-02-08,1133263.78,D,IN
130091,CA5187,2022-02-08,6592219.85,C,MD
130092,CA2528,2022-02-08,629151.82,D,NY
130093,CA9825,2022-02-08,9833468.44,C,FL
130094,CA1128,2022-02-08,6642711.76,C,NY
130095,CA9728,2022-02-08,1112555.0,C,FL
130096,CA3168,2022-02-08,2033873.96,C,FL
130097,CA1825,2022-02-08,2791833.23,C,OH
130098,CA1983,2022-02-08,8825139.39,D,MI
130099,CA4059,2022-02-08,1738447.48,D,WA
130100,CA5636,2022-02-08,9912131.67,C,NJ
130101,CA3181,2022-02-08,4324810.49,C,MI
130102,CA1802,2022-02-08,7060773.75,D,NY
130103,CA6329,2022-02-08,2538557.57,C,WA
130104,CA8431,2022-02-08,6906769.46,C,NY
130105,CA7059,2022-02-08,498271.82,D,FL
130106,CA1850,2022-02-08,1031156.69,C,OH
130107,CA6860,2022-02-08,1667453.96,D,MI
130108,CA9659,2022-02-08,6447626.3,C,NJ
130109,CA4902,2022-02-08,7821958.18,C,MI
130110,CA7654,2022-02-08,8149301.68,C,OH
130111,CA9932,2022-02-08,6078690.65,C,IN
130112,CA7482,2022-02-08,8937708.02,D,NJ
130113,CA3426,2022-02-08,436069.86,C,MD
130114,CA7013,2022-02-08,4754284.77,C,OH
130115,CA7458,2022-02-08,7639081.8,C,VA
130116,CA5692,2022-02-08,524157.31,D,NJ
130117,CA6633,2022-02-08,1631755.65,D,WA
130118,CA9094,2022-02-08,1177976.35,C,CA
130119,CA3898,2022-02-08,3092265.85,C,WA
130120,CA3204,2022-02-08,9891289.87,D,MI
130121,CA2361,2022-02-08,6299096.58,C,OH
130122,CA7725,2022-02-08,35309.03,C,MD
130123,CA1864,2022-02-08,4369357.66,C,CA
130124,CA4975,2022-02-08,1767376.79,D,MI
130125,CA9165,2022-02-08,6870314.91,C,NY
130126,CA4172,2022-02-08,5114578.04,C,CA
130127,CA1821,2022-02-08,6052224.23,C,NY
130128,CA6320,2022-02-08,8157460.96,D,MD
130129,CA4352,2022-02-08,8712335.26,C,FL
130130,CA9872,2022-02-08,7928563.08,D,IN
130131,CA7874,2022-02-08,9632739.95,D,IN
130132,CA1070,2022-02-08,5599192.96,D,OH
130133,CA2714,2022-02-08,8128047.86,D,VA
130134,CA1357,2022-02-08,9303212.69,C,MI
130135,CA6001,2022-02-08,7682432.64,D,IN
130136,CA3787,2022-02-08,7258632.55,C,NY
130137,CA8256,2022-02-08,3890819.92,D,NJ
130138,CA1100,2022-02-08,3387399.26,C,IN
130139,CA2191,2022-02-08,953258.88,D,MI
130140,CA7696,2022-02-08,263210.07,D,CA
130141,CA4901,2022-02-08,6976386.89,C,MI
130142,CA6581,2022-02-08,2173609.15,C,CA
130143,CA1954,2022-02-08,8044973.09,C,IN
130144,CA6497,2022-02-08,8634256.7,C,NY
130145,CA3639,2022-02-08,8990996.45,C,CA
130146,CA5888,2022-02-08,2549179.61,D,WA
130147,CA2453,2022-02-08,4041595.64,D,FL
130148,CA2472,2022-02-08,2589148.46,D,VA
130149,CA9324,2022-02-08,3297273.29,C,VA
130150,CA9022,2022-02-08,9884411.5,C,VA
130151,CA8760,2022-02-08,1200380.8,D,CA
130152,CA6937,2022-02-08,3923275.96,C,OH
130153,CA1672,2022-02-08,405365.01,C,NY
130154,CA2670,2022-02-08,286319.19,D,NJ
130155,CA1010,2022-02-08,2288350.01,C,NY
130156,CA8931,2022-02-08,507917.53,C,MD
130157,CA1370,2022-02-08,850174.54,D,WA
130158,CA4795,2022-02-08,3619188.75,D,NY
130159,CA3335,2022-02-08,6614192.33,D,MI
130160,CA6048,2022-02-08,7789631.67,C,FL
130161,CA4158,2022-02-08,4295293.6,C,OH
130162,CA1073,2022-02-08,869961.63,C,FL
130163,CA1875,2022-02-08,1875248.96,D,FL
130164,CA9622,2022-02-08,9932732.07,C,VA
130165,CA4780,2022-02-08,3271272.81,D,MI
