tran_id,cust_id,tran_date,tran_ammount,tran_type,state_cd
100000,CA7670,2022-02-02,867126.92,C,NJ
100001,CA6939,2022-02-02,3559612.45,D,MD
100002,CA6760,2022-02-02,5460740.14,C,CA
100003,CA3865,2022-02-02,8426188.98,C,VA
100004,CA5077,2022-02-02,5893513.52,D,VA
100005,CA4775,2022-02-02,2613097.27,C,CA
100006,CA7436,2022-02-02,6365357.53,D,VA
100007,CA9034,2022-02-02,533857.51,C,VA
100008,CA3424,2022-02-02,3920317.01,D,NY
100009,CA3018,2022-02-02,1295859.79,D,CA
100010,CA7845,2022-02-02,573466.93,D,NY
100011,CA2314,2022-02-02,2692003.5,D,MI
100012,CA6032,2022-02-02,9535270.1,D,NJ
100013,CA8577,2022-02-02,9666818.75,C,MI
100014,CA7456,2022-02-02,8768332.51,C,MD
100015,CA2042,2022-02-02,5719011.04,C,NY
100016,CA7450,2022-02-02,407544.47,D,NY
100017,CA6089,2022-02-02,8119481.07,D,OH
100018,CA1979,2022-02-02,8196967.26,C,NJ
100019,CA3207,2022-02-02,7302033.91,C,VA
100020,CA8357,2022-02-02,5174404.28,C,CA
100021,CA6730,2022-02-02,3034190.94,D,IN
100022,CA3957,2022-02-02,9176625.7,C,MI
100023,CA5531,2022-02-02,8808846.08,D,CA
100024,CA5783,2022-02-02,978580.19,D,FL
100025,CA7285,2022-02-02,3549111.54,D,OH
100026,CA1829,2022-02-02,8637103.05,C,MD
100027,CA3962,2022-02-02,2574500.76,D,WA
100028,CA1366,2022-02-02,9291911.07,C,NY
100029,CA8932,2022-02-02,6007388.76,C,OH
100030,CA2415,2022-02-02,1958989.58,C,FL
100031,CA7010,2022-02-02,6571832.81,D,MI
100032,CA1852,2022-02-02,6745532.79,C,CA
100033,CA8443,2022-02-02,1460427.25,D,NJ
100034,CA7942,2022-02-02,1267680.56,D,OH
100035,CA8335,2022-02-02,2590356.23,C,MD
100036,CA4927,2022-02-02,3695707.97,D,NY
100037,CA3336,2022-02-02,3885215.6,D,NJ
100038,CA7023,2022-02-02,8274649.64,C,MI
100039,CA1628,2022-02-02,5245530.41,D,FL
100040,CA1172,2022-02-02,2826674.72,C,CA
100041,CA5275,2022-02-02,3656179.08,D,FL
100042,CA3211,2022-02-02,1990169.57,D,NJ
100043,CA6779,2022-02-02,6668585.86,D,VA
100044,CA6925,2022-02-02,5067197.03,C,WA
100045,CA7125,2022-02-02,7269545.62,D,NY
100046,CA4764,2022-02-02,7483539.44,D,WA
100047,CA9667,2022-02-02,3253950.44,C,CA
100048,CA4853,2022-02-02,8885045.36,D,WA
100049,CA7618,2022-02-02,3435796.4,C,OH
100050,CA3144,2022-02-02,8693337.0,C,MD
100051,CA2667,2022-02-02,9003675.52,D,NJ
100052,CA7808,2022-02-02,3349100.37,C,OH
100053,CA2875,2022-02-02,3004255.46,D,IN
100054,CA6237,2022-02-02,842122.86,C,NJ
100055,CA5275,2022-02-02,7962901.03,D,OH
100056,CA7952,2022-02-02,9325582.02,C,OH
100057,CA2379,2022-02-02,2009495.79,D,IN
100058,CA6646,2022-02-02,3910405.98,D,WA
100059,CA2499,2022-02-02,3323421.35,D,OH
100060,CA8968,2022-02-02,5917152.64,C,MI
100061,CA5027,2022-02-02,7977161.27,D,MD
100062,CA4755,2022-02-02,6756346.84,C,OH
100063,CA7297,2022-02-02,8161339.74,D,OH
100064,CA4194,2022-02-02,5488007.95,D,FL
